order_id,warehouse,destination,distance_km,vehicle_type,package_weight_kg,traffic_level,weather,number_of_stops,expected_time_hr,delivery_time_hr,transport_cost,delivery_delay_hr,delivery_status
10001,Udaipur,Udaipur,450.5,Truck,5.3,High,Clear,2,10.84,13.2,7686.44,2.36,Delayed
10002,Kota,Udaipur,341.1,Van,7.4,Medium,Clear,6,8.19,9.05,4131.65,0.86,Delayed
10003,Ahmedabad,Udaipur,272.3,Van,7.6,High,Rain,5,6.57,8.36,3287.6,1.79,Delayed
10004,Kota,Udaipur,196.4,Mini Truck,4.3,High,Rain,1,4.54,7.21,2745.26,2.67,Delayed
10005,Kota,Delhi,211.4,Van,7.6,Low,Rain,6,5.48,6.88,2524.49,1.4,Delayed
10006,Delhi,Delhi,390.4,Van,22.5,Medium,Hot,8,9.57,10.75,4710.33,1.18,Delayed
10007,Ahmedabad,Jodhpur,119.2,Truck,34.8,Medium,Clear,5,3.67,5.02,2180.95,1.35,Delayed
10008,Ahmedabad,Jaipur,271.7,Truck,3.2,Low,Clear,6,7.4,7.34,4675.86,-0.06,On Time
10009,Ahmedabad,Ajmer,346.1,Mini Truck,27.6,Medium,Cloudy,3,8.23,9.28,4802.4,1.05,Delayed
10010,Kota,Udaipur,112.9,Van,14.1,Medium,Rain,3,2.89,4.31,1418.55,1.42,Delayed
10011,Udaipur,Jodhpur,93.6,Mini Truck,5.5,Low,Hot,8,3.52,4.89,1515.34,1.37,Delayed
10012,Ahmedabad,Jaipur,198.5,Truck,11.7,Medium,Clear,3,5.16,6.24,3428.43,1.08,Delayed
10013,Kota,Ajmer,67.5,Mini Truck,21.7,Medium,Clear,3,2.04,2.24,1062.14,0.2,On Time
10014,Delhi,Bhilwara,262.8,Truck,16.2,Low,Clear,2,6.47,7.3,4496.43,0.83,Delayed
10015,Udaipur,Kota,320.5,Mini Truck,3.9,Medium,Rain,3,7.66,8.83,4434.73,1.17,Delayed
10016,Delhi,Delhi,103.4,Mini Truck,15.3,Low,Cloudy,7,3.56,3.67,1634.3,0.11,On Time
10017,Udaipur,Bhilwara,352.7,Van,25.5,Medium,Clear,3,7.89,8.8,4150.9,0.91,Delayed
10018,Kota,Ajmer,420.2,Mini Truck,23.0,Low,Clear,7,10.6,10.85,5879.71,0.25,On Time
10019,Jaipur,Bhilwara,277.8,Van,12.1,High,Cloudy,2,6.15,7.97,3231.15,1.82,Delayed
10020,Udaipur,Kota,435.0,Van,15.8,Medium,Rain,3,9.6,10.59,5158.05,0.99,Delayed
10021,Delhi,Jodhpur,192.6,Van,12.6,Low,Clear,8,5.45,5.67,2433.82,0.22,On Time
10022,Kota,Ajmer,169.8,Van,22.1,Medium,Rain,5,4.44,6.44,2137.41,2.0,Delayed
10023,Udaipur,Bhilwara,214.4,Mini Truck,23.0,Medium,Cloudy,8,6.2,7.48,3216.45,1.28,Delayed
10024,Jaipur,Delhi,128.1,Truck,2.5,Medium,Rain,5,3.88,4.79,2227.36,0.91,Delayed
10025,Jaipur,Delhi,166.2,Truck,25.6,Medium,Rain,4,4.59,5.79,2983.75,1.2,Delayed
10026,Ahmedabad,Jaipur,231.1,Truck,21.2,Medium,Clear,5,6.27,6.5,4029.49,0.23,On Time
10027,Ahmedabad,Bhilwara,247.6,Mini Truck,10.0,Low,Clear,1,5.68,5.83,3406.55,0.15,On Time
10028,Delhi,Udaipur,290.7,Van,30.3,Low,Cloudy,1,6.24,5.64,3455.15,-0.6,On Time
10029,Udaipur,Bhilwara,67.3,Truck,12.6,Medium,Clear,1,1.75,1.94,1191.2,0.19,On Time
10030,Udaipur,Jodhpur,600.0,Mini Truck,8.6,Medium,Rain,2,13.69,14.89,8247.27,1.2,Delayed
10031,Ahmedabad,Ajmer,135.7,Van,10.1,Medium,Cloudy,8,4.27,4.26,1788.94,-0.01,On Time
10032,Udaipur,Ajmer,319.7,Truck,16.5,High,Rain,5,8.33,10.62,5523.54,2.29,Delayed
10033,Udaipur,Jodhpur,265.8,Van,11.7,Medium,Clear,8,6.98,6.73,3267.09,-0.25,On Time
10034,Jaipur,Bhilwara,160.4,Truck,9.9,Medium,Clear,7,4.99,5.91,2857.91,0.92,Delayed
10035,Ahmedabad,Jodhpur,304.8,Truck,8.8,Low,Cloudy,1,7.27,7.19,5172.1,-0.08,On Time
10036,Kota,Kota,137.4,Truck,23.6,Low,Clear,4,3.92,3.64,2405.48,-0.28,On Time
10037,Ahmedabad,Jodhpur,226.2,Van,22.4,High,Cloudy,2,5.07,6.46,2672.76,1.39,Delayed
10038,Kota,Delhi,589.4,Mini Truck,3.1,Medium,Rain,4,13.82,15.29,8127.89,1.47,Delayed
10039,Jaipur,Jodhpur,179.9,Van,10.6,Medium,Clear,5,4.65,5.62,2232.36,0.97,Delayed
10040,Delhi,Ajmer,238.4,Truck,25.2,Low,Rain,3,6.08,7.47,4206.6,1.39,Delayed
10041,Udaipur,Delhi,125.0,Van,15.1,Medium,Clear,4,3.32,4.48,1562.41,1.16,Delayed
10042,Jaipur,Ajmer,323.5,Mini Truck,26.3,High,Clear,3,7.73,10.23,4482.8,2.5,Delayed
10043,Udaipur,Jaipur,149.6,Van,31.8,Low,Hot,2,3.48,4.08,1820.54,0.6,On Time
10044,Delhi,Udaipur,268.6,Mini Truck,31.6,High,Hot,4,6.69,8.55,3853.29,1.86,Delayed
10045,Delhi,Ajmer,380.1,Mini Truck,28.4,Medium,Clear,4,9.17,9.66,5310.57,0.49,On Time
10046,Jaipur,Delhi,200.7,Van,13.2,Medium,Hot,6,5.26,6.07,2436.06,0.81,Delayed
10047,Delhi,Jaipur,307.4,Truck,11.1,Medium,Clear,2,7.51,8.45,5257.84,0.94,Delayed
10048,Kota,Ajmer,276.8,Mini Truck,14.3,High,Clear,2,6.51,7.56,3872.91,1.05,Delayed
10049,Delhi,Kota,387.6,Van,11.8,Low,Clear,1,8.26,8.36,4475.56,0.1,On Time
10050,Udaipur,Jodhpur,308.2,Mini Truck,29.0,Low,Hot,5,7.75,8.04,4355.21,0.29,On Time
10051,Udaipur,Udaipur,433.2,Truck,22.5,High,Clear,4,10.79,11.96,7463.32,1.17,Delayed
10052,Udaipur,Ajmer,199.7,Van,16.6,Medium,Cloudy,8,5.6,5.93,2552.22,0.33,On Time
10053,Udaipur,Jaipur,110.8,Van,6.0,Low,Cloudy,4,3.03,4.27,1340.23,1.24,Delayed
10054,Kota,Kota,88.7,Van,22.2,Medium,Cloudy,7,3.11,3.28,1162.15,0.17,On Time
10055,Ahmedabad,Bhilwara,93.7,Truck,31.7,Medium,Clear,2,2.54,3.21,1703.64,0.67,On Time
10056,Jaipur,Jaipur,195.1,Mini Truck,9.8,Medium,Clear,8,5.78,7.03,2852.27,1.25,Delayed
10057,Udaipur,Jodhpur,251.5,Van,29.6,Low,Clear,2,5.6,5.84,3026.23,0.24,On Time
10058,Delhi,Jaipur,155.9,Mini Truck,21.1,Medium,Cloudy,5,4.36,4.95,2310.89,0.59,On Time
10059,Udaipur,Kota,61.7,Mini Truck,58.0,Low,Cloudy,2,1.73,1.29,991.94,-0.44,On Time
10060,Delhi,Jaipur,157.5,Truck,14.1,Medium,Cloudy,3,4.2,5.06,2730.71,0.86,Delayed
10061,Delhi,Kota,179.4,Van,10.3,High,Cloudy,3,4.28,4.69,2131.32,0.41,On Time
10062,Udaipur,Ajmer,227.6,Mini Truck,26.9,Medium,Clear,6,6.14,6.92,3273.09,0.78,Delayed
10063,Kota,Kota,464.4,Van,9.1,Low,Rain,3,10.22,11.04,5471.43,0.82,Delayed
10064,Delhi,Kota,79.5,Van,16.4,Low,Cloudy,3,2.2,2.78,1028.63,0.58,On Time
10065,Delhi,Udaipur,325.4,Truck,19.5,Medium,Clear,5,8.47,8.66,5568.82,0.19,On Time
10066,Udaipur,Kota,309.1,Van,26.3,Medium,Clear,4,7.16,7.71,3746.6,0.55,On Time
10067,Delhi,Kota,200.6,Van,32.2,Medium,Rain,3,4.72,6.42,2447.96,1.7,Delayed
10068,Delhi,Bhilwara,282.0,Mini Truck,49.5,Medium,Rain,8,7.71,9.3,4171.09,1.59,Delayed
10069,Udaipur,Ajmer,207.7,Truck,3.9,Medium,Clear,6,5.91,6.01,3595.2,0.1,On Time
10070,Udaipur,Jodhpur,305.7,Van,47.4,Low,Cloudy,2,6.73,6.54,3656.2,-0.19,On Time
10071,Jaipur,Udaipur,141.2,Mini Truck,5.5,Low,Clear,3,3.68,4.31,2015.39,0.63,On Time
10072,Kota,Bhilwara,132.0,Truck,7.4,Low,Clear,6,4.15,4.27,2328.98,0.12,On Time
10073,Kota,Delhi,75.3,Truck,24.3,Low,Cloudy,5,2.65,2.0,1423.74,-0.65,On Time
10074,Delhi,Ajmer,282.6,Mini Truck,17.4,Medium,Cloudy,7,7.54,8.74,4010.9,1.2,Delayed
10075,Kota,Ajmer,164.8,Mini Truck,6.8,High,Rain,7,4.92,6.5,2406.14,1.58,Delayed
10076,Delhi,Delhi,91.8,Mini Truck,23.1,Medium,Clear,7,3.3,3.86,1461.4,0.56,On Time
10077,Jaipur,Jodhpur,133.2,Mini Truck,14.0,Low,Clear,2,3.32,3.57,1896.31,0.25,On Time
10078,Udaipur,Kota,305.4,Mini Truck,4.1,Low,Clear,6,7.87,8.42,4297.78,0.55,On Time
10079,Udaipur,Bhilwara,250.3,Van,33.0,Low,Clear,3,5.75,4.7,3047.83,-1.05,On Time
10080,Udaipur,Jaipur,135.8,Van,8.6,Low,Clear,4,3.55,3.87,1682.3,0.32,On Time
10081,Kota,Udaipur,454.6,Truck,6.9,Medium,Clear,2,10.93,12.02,7694.71,1.09,Delayed
10082,Jaipur,Jaipur,220.9,Van,16.4,Medium,Clear,2,4.96,5.41,2612.85,0.45,On Time
10083,Kota,Delhi,293.6,Van,7.9,Low,Clear,7,7.38,7.42,3601.43,0.04,On Time
10084,Kota,Ajmer,247.5,Van,23.0,Low,Cloudy,4,5.88,4.61,3015.35,-1.27,On Time
10085,Jaipur,Jodhpur,197.2,Mini Truck,13.8,Low,Clear,7,5.64,4.4,2842.64,-1.24,On Time
10086,Jaipur,Ajmer,283.3,Truck,19.7,Low,Clear,2,6.95,7.45,4873.43,0.5,On Time
10087,Jaipur,Udaipur,406.4,Truck,9.7,Medium,Cloudy,3,9.99,10.55,6947.44,0.56,On Time
10088,Jaipur,Ajmer,195.4,Truck,17.2,Low,Clear,7,5.8,5.64,3475.15,-0.16,On Time
10089,Udaipur,Ajmer,336.2,Truck,8.2,Medium,Cloudy,7,9.08,9.99,5821.31,0.91,Delayed
10090,Ahmedabad,Udaipur,155.9,Van,12.6,Medium,Clear,8,4.69,5.23,1934.82,0.54,On Time
10091,Ahmedabad,Bhilwara,545.9,Van,15.5,High,Clear,7,12.63,13.92,6466.82,1.29,Delayed
10092,Jaipur,Bhilwara,144.7,Mini Truck,3.7,High,Clear,2,3.58,5.26,2057.56,1.68,Delayed
10093,Ahmedabad,Udaipur,600.0,Truck,30.1,Medium,Clear,3,14.49,14.52,10190.85,0.03,On Time
10094,Ahmedabad,Jodhpur,113.5,Van,4.9,Low,Cloudy,4,3.08,3.7,1405.09,0.62,On Time
10095,Jaipur,Delhi,189.7,Van,7.3,Medium,Hot,1,4.13,5.03,2200.5,0.9,Delayed
10096,Ahmedabad,Ajmer,290.8,Mini Truck,8.4,Medium,Clear,4,7.18,7.43,4085.66,0.25,On Time
10097,Kota,Jodhpur,420.6,Mini Truck,22.3,Low,Clear,3,9.89,9.38,5874.49,-0.51,On Time
10098,Delhi,Ajmer,502.0,Mini Truck,10.5,Medium,Cloudy,5,12.06,12.88,7002.22,0.82,Delayed
10099,Delhi,Delhi,467.3,Van,41.2,High,Clear,7,11.0,12.36,5610.32,1.36,Delayed
10100,Jaipur,Bhilwara,285.2,Van,42.9,Medium,Rain,4,6.66,7.46,3488.75,0.8,Delayed
10101,Udaipur,Jodhpur,149.5,Mini Truck,22.9,Low,Clear,5,4.22,3.95,2260.81,-0.27,On Time
10102,Jaipur,Kota,375.0,Truck,8.7,Low,Hot,5,9.62,9.56,6457.08,-0.06,On Time
10103,Udaipur,Kota,398.0,Mini Truck,13.3,Medium,Clear,3,9.38,10.65,5533.89,1.27,Delayed
10104,Delhi,Kota,269.4,Mini Truck,16.4,Low,Clear,3,6.53,6.59,3715.09,0.06,On Time
10105,Jaipur,Bhilwara,171.5,Mini Truck,29.7,Medium,Rain,8,5.25,7.46,2579.53,2.21,Delayed
10106,Kota,Bhilwara,123.2,Mini Truck,12.8,Medium,Cloudy,7,4.0,4.48,1924.02,0.48,On Time
10107,Ahmedabad,Delhi,154.9,Van,8.3,Low,Clear,1,3.41,3.28,1877.17,-0.13,On Time
10108,Udaipur,Ajmer,150.7,Truck,6.2,High,Cloudy,6,4.58,6.35,2694.79,1.77,Delayed
10109,Ahmedabad,Delhi,234.1,Mini Truck,30.9,Medium,Cloudy,2,5.56,6.63,3288.45,1.07,Delayed
10110,Ahmedabad,Delhi,384.7,Truck,23.0,Low,Clear,4,9.67,9.99,6607.99,0.32,On Time
10111,Jaipur,Bhilwara,243.6,Truck,12.0,Medium,Cloudy,3,6.21,6.61,4214.35,0.4,On Time
10112,Ahmedabad,Kota,118.0,Truck,12.7,Medium,Clear,4,3.46,3.77,2133.8,0.31,On Time
10113,Kota,Jaipur,327.8,Mini Truck,3.6,Medium,Rain,6,8.36,9.7,4626.05,1.34,Delayed
10114,Ahmedabad,Ajmer,575.7,Van,7.1,High,Hot,6,13.07,15.54,6828.3,2.47,Delayed
10115,Jaipur,Bhilwara,242.0,Mini Truck,50.5,Medium,Clear,7,6.64,6.89,3576.45,0.25,On Time
10116,Kota,Kota,157.7,Truck,17.5,High,Clear,5,4.57,5.83,2797.76,1.26,Delayed
10117,Delhi,Jodhpur,131.5,Truck,4.6,Medium,Clear,7,4.32,5.35,2358.18,1.03,Delayed
10118,Ahmedabad,Jaipur,317.4,Van,5.3,Medium,Clear,2,6.97,7.97,3737.55,1.0,Delayed
10119,Jaipur,Jaipur,493.4,Mini Truck,11.6,High,Hot,1,11.14,13.19,6819.76,2.05,Delayed
10120,Delhi,Bhilwara,194.7,Truck,8.1,Medium,Clear,4,5.25,5.99,3403.2,0.74,On Time
10121,Delhi,Udaipur,171.5,Van,15.1,Low,Clear,2,3.93,3.45,2018.43,-0.48,On Time
10122,Udaipur,Ajmer,239.1,Truck,21.9,Medium,Rain,8,7.0,8.19,4204.68,1.19,Delayed
10123,Kota,Jaipur,341.6,Van,7.5,Medium,Rain,1,7.3,9.31,4024.11,2.01,Delayed
10124,Ahmedabad,Bhilwara,151.6,Van,12.2,Low,Clear,4,3.88,4.23,1874.44,0.35,On Time
10125,Jaipur,Bhilwara,258.9,Mini Truck,6.0,High,Cloudy,2,6.11,7.11,3599.93,1.0,Delayed
10126,Udaipur,Kota,298.3,Truck,42.5,Low,Cloudy,3,7.48,7.97,5186.2,0.49,On Time
10127,Kota,Jodhpur,310.1,Mini Truck,21.9,Low,Hot,4,7.61,8.5,4434.73,0.89,Delayed
10128,Udaipur,Udaipur,125.4,Truck,22.6,High,Cloudy,2,3.28,4.9,2189.34,1.62,Delayed
10129,Kota,Ajmer,139.6,Mini Truck,20.8,Medium,Cloudy,6,4.18,5.17,2126.54,0.99,Delayed
10130,Kota,Delhi,240.9,Truck,8.0,Low,Clear,1,5.78,6.24,4096.5,0.46,On Time
10131,Ahmedabad,Jodhpur,329.9,Mini Truck,17.7,Medium,Clear,2,7.69,8.08,4533.6,0.39,On Time
10132,Kota,Jodhpur,600.0,Van,17.2,Medium,Cloudy,3,13.04,14.89,7008.41,1.85,Delayed
10133,Udaipur,Kota,121.0,Truck,18.0,Low,Hot,7,4.07,4.92,2208.75,0.85,Delayed
10134,Kota,Jaipur,262.4,Truck,9.1,High,Rain,4,6.82,9.36,4556.42,2.54,Delayed
10135,Ahmedabad,Jaipur,229.8,Van,9.5,Medium,Hot,8,6.23,7.21,2895.95,0.98,Delayed
10136,Ahmedabad,Kota,180.9,Mini Truck,27.8,Medium,Clear,4,4.74,5.66,2636.39,0.92,Delayed
10137,Udaipur,Bhilwara,409.5,Truck,11.7,Medium,Rain,4,10.24,11.04,6977.38,0.8,Delayed
10138,Delhi,Jaipur,308.0,Truck,27.8,Medium,Rain,3,7.7,10.14,5275.24,2.44,Delayed
10139,Delhi,Udaipur,312.8,Mini Truck,9.1,Low,Cloudy,1,7.13,7.74,4353.38,0.61,On Time
10140,Kota,Ajmer,116.9,Van,8.9,Low,Clear,4,3.16,3.82,1414.6,0.66,On Time
10141,Jaipur,Jodhpur,189.8,Mini Truck,8.6,Medium,Clear,1,4.4,5.11,2629.77,0.71,On Time
10142,Kota,Jodhpur,236.3,Mini Truck,14.8,High,Rain,2,5.61,7.75,3387.77,2.14,Delayed
10143,Udaipur,Udaipur,251.6,Mini Truck,28.9,Low,Clear,6,6.67,6.37,3617.51,-0.3,On Time
10144,Udaipur,Jaipur,600.0,Truck,9.5,Medium,Hot,8,15.39,16.76,10234.29,1.37,Delayed
10145,Udaipur,Jodhpur,195.4,Van,9.1,High,Clear,6,5.15,6.42,2348.92,1.27,Delayed
10146,Udaipur,Delhi,52.7,Van,18.0,Low,Cloudy,1,1.28,1.3,758.03,0.02,On Time
10147,Udaipur,Ajmer,237.9,Mini Truck,5.2,Low,Cloudy,1,5.47,5.82,3294.02,0.35,On Time
10148,Ahmedabad,Ajmer,298.9,Truck,29.9,Low,Cloudy,6,8.03,7.83,5194.86,-0.2,On Time
